id,review_description,Toxicity
9964,ارجو مراقبه كنتاكي لانه بيجيب الاوردر غلط مبيلتزمش بواصفات الاوردر يعني تطلب صدور تيجي اجنحه حتي الكانز بيجي غلط اما الابلكيشن طلبات سعات كتير كود الخصم مش بيقبل رغم انه بيكون ساري,1
9971,ح معا تتت ياتي في البيت حل ٠حح٠0,-1
9972,برنامج جميل ورائع,1
9973,ياريت التطبيق يكون للاحياء,1
9974,اعلانات كذب ولا فيه خصومات ولا بطيخ ناس غير مسؤوله وشركة أقل ما يقال عنها انهم نصااااابين,-1
9975,التطبيق مش مستقبل المكان بتاعي,-1
9976,نوك مرحبا مليون دولار أمريكي,1
10955,حقيقي حلو جداً والله ومش بتتأخروا في المواعيد🙊❤️,1
10957,هائل,1
10958,عايز أعرف أطلب من كنتاكى أو ماكدونالدز إزاى من على البرنامج؟,1
10959,جميل جدا التطبيق,1
10960,دك,-1
10961,شئ جدا بالنسبة لي كل ما نطلب ما يوصل الطلب بسبب مشاكل التطبيق ما أنصح فيه ابدا,-1
10962,رائع جداً ❤️❤️,1
10963,تطبيق أتمنى له النجاح والإنتشار لأن فيه فكرة جميلة وعروض مذهلة,1
10964,انا طلبت ولاكن مره أسبوع ماوصل وانا حذفته وانا الان ابغا اكل😢 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢وانتي حلي مشكلتي باي أحبكم شكرا لكم وانتم الأحلى وراعين ابدعتوا وشكرا لكم أنتم الاغلى,1
10965,جميل جدا احلى برنامج,1
10966,رح اجرب التطبيق ولأننا يكون حلو,-1
10967,غير متاح توصيل الطلبات لدي في مدينتي الخاصة بي فلماذا وجود البرنامج لدي فلابد من حذفه,-1
10968,حلو بس المكان اذا بعيد ما بيروح بث هم يصلحون,1
10969,البرنامج زفت ...وخاص اذا انت مسجل معاهم في طلبات وصاحب مطعم للاسف ماشي تجاوب سريع,-1
10970,التطبيق احسن حاجه في انو بيعرف موقعق علطول مش معتاج تكتبه,1
10971,خراااال,-1
10972,الحمد لله انهو موجود في البرد,1
10973,جيد جدا ممتاز,1
10974,احاول اعاده تنزيل تطبيق ماينزل شي و الحل,-1
10975,تطبيق ممتاز جدا جدا جدا واكتر من رالئع,1
10976,روعة 🖤✨,1
10977,افؤق45ع66 ققق33يغع6يث,1
10978,مفيش توصيل للمكان يلي ساكنه فيه 💔 ياريت توصلو اكتر,-1
10979,ممتاز👍💕,1
10980,يتست,1
10981,السلام عليكم ورحمه الله وبركاته قبل ما استعمل برنامج هذا انا ليس مع رصيد لاو سمحتم اتصلوا بي عشان مش معايا رصيد انا احمل البرنامج دلوقتى ولما ابعت رساله اتصلوا,1
10982,لايوجد توصيل في مدينة قويسنا,-1
10983,"تم سرقة طلبي ولم يتخذو اي اجراء ولم استلم طلبي ولا رجع مبلغ، وتواصلت معهم قالو تحققنا من الامر و تم استلام طلب لعنكم الله يا كاذبين ولا اثق بهم بعد الان 👎👎👎👎👎",-1
10984,كدابين يبلغوا الخصم بعدالطلب,-1
10986,ليش ما يستوي أطلب لأنه ما يوصل الطلب من وين مكاني,-1
10987,برنامج قوي أقوى برنامج طلبات,1
10988,عروض كدابه طلبت حاجات ب 59.99 بالخصم وبعد لما جاه الكابتن لقيت بيقولي 110 بقولوا ازاي والخصم قالي مفيش خصم,-1
10989,جميل جدا جدا جدا جدا,1
10991,جميل و رائع جدا جدا جدا جدا جدا جدا و شهي,1
10992,تم تنزيل التطبيق و لا يفتح جربت اكثر من مره ولا يفتح .. تطبيق فاشل لا انصح به,-1
10993,برنامج وحش جدا جدا برنامج محدش ينزلو 😡,-1
10994,كاذبين ومفيش عروض,-1
10995,السلام عليكم ورحمة الله وبركاته الصراحه الموظف زيه متسخ ومن كثره الاستعمال لونه اسود ودائما اراهم يجلسون في لشوارع ويتسامرون ولا يرتدون قفازات ولا اعرف عندما يستلم الطلب هل يعقم يديه ام لا وايضا ارى انهم لا يلتزمون بلتباعد اراهم دائما مجتمعين,-1
10996,ممممممتتتتتتتااااااازززززززز,1
10997,Good 💓,1
10998,جامد جامد جامد اوي اوي,1
10999,للاسف بقي سئ جدا ومفيش اهتمام بالعملاء التطبيق كان رافض يتم اي اوردر وبعد معاناة 10ايام مع خدمة العملاء الحمدلله مشتغلش بردو ومسحته وريحت دماغي,-1
11000,بتختاروا الأماكن اللى على مزاجكم,-1
11001,"شسالفه انا من الكويت ومن امس مايشتغل عندي البرنامج كاتبين خطأ في الإتصال الخدمة غير متاحة خدمة طلبات متوفرة فقط داخل منطقة دول مجلس التعاون الخليجي ، الرجاء إغلاق خدمة VPN أو Proxy إن كانت مفعلة و إعادة المحاولة مرة أخرى . أعد المحاولة بليز بليز حلو تلمشكله لان جوعااان 😭",-1
11002,عدد المطاعم قليل,-1
11003,ناصر,1
11004,افضل تطبيق بالتاريخ,1
11006,انتم نصابييييين,-1
11007,انا ليس ما جربة,1
11008,احبكم😍,1
11009,خش برمج,1
11010,انا حملت البرنامج ومسحته عشان قلي المنطقه لايوجد توصيل لهذه المنطقه ده البرنامج الاول في توصيل الطلابات,-1
11012,كود الخصم كل ما ادخله يقول القسيمه لا تعمل مع هذا المحل,-1
11013,للاسف برنامج سئ ولا يوجد به تنسيق بين افراد العمل,-1
11014,واااااااااااااااااااو المطعم يستحق ١٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠نجمه تعديل/اول مره التطبيق يرد علي😁😁,1
11015,ضالات💓💓💓👍👍👉👉👉👉👉👉👉,-1
11016,متازززه رئععع,1
11017,رائع ومن افضل تطبيقات التوصيل واجمل شئ انه بيكتب ساعات العمل للمكان المراد منه الطلب,1
11018,عروض وهميه وصفحه الفيس بتاعتهم مش بترد وحاجه تدل انهم شغالين دعايا وخلاص,-1
11019,أوساخ ما فيش عروض خالص ما حدش ينزل التطبيق الوسخ داه,-1
11020,تطبيق جميل ورائع يعني الطلب بيوصل بسرعه ب الاسعار غاليه,1
11021,كل الشكر ل طلبات على المصداقيه,1
11022,إنه لا يعمل,-1
11023,سئ للغايه .انا ساكنه مش ف مكان عشوائي . ف المرج الجديده عند محطه مترو. ما معني انكو ما بتخدموش المنطقة دي. برنامج فاشل,-1
11024,سئ جداً لا يوصل الى مكاني سئ جداً جداً جداً,-1
11025,احسن برنامج بس ياريت يكون فيه عروض🤩,1
11026,افضل تطبيق اكل بالعالم ربنا يباركلوكووو🤩🤩🤩,1
11027,الان اصبح علي احترام للمواعيد كان الاول اسم اطلب,-1
11028,اسوي تطبيق في التاريخ تطبيق فاشله جدا جدا,-1
11029,جميل... 👌🏻,1
11030,ررروعه,1
11031,بيجنن,1
11032,جزاكم الله خيرا,1
11033,مرات بهنج,1
11034,تطبيق ممتاز وخدماته سريعة 👍,1
11035,كيف طريقة التسجيل مندوب توصيل عندكم,1
11036,كذا هاذا الى يستاهله التطبيق,-1
11037,"تطبيق جيد ، بضائع وخدمات توصيل جيده ، عروض وخصومات في بعض الأوقات ممتازة .. اما عن السلبيات الأسعار مرتفعة نوعا ما في البقالة وغالية جدا في المطاعم بالإضافة إلى أن أسعار توصيلها جنونية مثلا 12 أو 9 درهم تضاف لثمن الوجبة فالافضل ان اطلبها مباشر من المطعم أفضل .. وعن ذاك الذي وضع ثمن نصف دجاج مظبي 39 درهم واضاف اليها ثمن توصيل 12 درهم أتسأل اي مغفل هذا الذي سيشتريها ؟ وثمن الوجبة ذاتها في غير مطاعم 23+ 3 توصيل فقط لماذا ادفع عندك 41 هل هذا معقول ؟ يجب إضافة مطاعم عربية جيدة واسعارها مناسبة للجميع",1
11039,عمال التوصيل أكثرهم غير محترمين في السياقه والتعامل مع الزبون وأكثر المطاعم عندكم طريقه التغليف سيئه وانا نادم فعلا لأني تعاملت معكم وهذي اخر مره نستخدم التطبيق انا مع عائلتي,-1
11040,البرنامج ممتاز بس الأكل يوصل بارد المندوبين يفضل يكون عندهم حقائب حفظ الأكل,1
11041,سيء جدا لا يتيح الطلب نقدا,-1
11042,هو كان عجبني جدا بس حصلت مشكله طلبت اردر وبعد ساعه اتصل بيا قالي الطلب مش موجود في المطعم اتخنقت معاهم ومن سعتها التطبيق مش راضي يشتغل عندي بعت كتير ولسه مش شغال,1
11043,زبله,-1
11044,الرجاء زيادة التطبيق بالتوصيل في نطاق مدينة السلام_الموقف العاشر.,-1
11045,كتير حلوه ♥️♥️❤️❤️,1
11046,مافي رقم,1
11047,للل,1
11048,جميل جدا وبيوصل الطلب بسرعه 👍,1
11049,خحق خمر دي,1
11050,ليش ما في توصيل للضليل,-1
11051,بجننن كتيررر,1
11052,ليش ما عايز يفتح كل ما اجي افتحة يقولي تم إيقاف طلبات,-1
11053,هو يستاهل خمس نجوم بس انا ما يفتح عندي ما يرضا يحدد الموقع ما اعرف ليش,1
11054,تطبيق غير جيد ويحتاج إلى تطوير كبير 😡,-1
11055,لا يستجيب التسجيل,-1
11056,تطبيق ممتاز ....,1
11057,تطبيق مش محترم ابدا تاني مره ادخل كوبون خصم وميتفعلش ويضحكوا عليا وادفع تمن الاوردر ...وخدمه العملاء الشات بتاعهم منتهي قله الذوق يتكلم ويقفل الشات قبل ما تكمل كلامك ..نصيحه مني محدش يتعامل معاهم تاني,-1
11058,مصرمحمدمحمد,1
11059,معفنه جداااااااا,1
11060,رائع جدااا👍🏻❤,1
11061,عروض وهمية الخصم يضاف ضريبة,-1
11062,ممتاز اشكر إلى صمام هيك برنامج وختمتكم ممتازة,1
11063,احلى لعبه بالعالم بس والله خليها تنزل على السريع اذا نزلت على السريع بشركم للابد,1
11065,خدمااات ولا أروع وانصح الكل ينزل ويستخدم التطبيق,1
11066,احمد ابو احمد 😍 😍 ◀ ❤ 💗 🇦 ▶,1
11067,كريم وليد عيد,1
11068,احب طلبات وايد ويسعدني اذا يوعانه,1
11069,تجربة سيئة .. ما بوخذو بالتقييم وما في تنسيق بين التطبيق والمطاعم او الشركات الي بتتعامل معه والأخطاء بتتكرر ودائما العميل بتحملها .. بتكون طالب اشي وبوصلك اشي ثاني ولما تراجعهم بدخلوك بدوامة الكول سنتر برميك على المطعم والمطعم برميك على التطبيق وبالنهاية بتقرف وما بتوصل لنتيجة,-1
11070,برنامج ممممتاوزز جدددا,1
11071,شكرا لكم يا طلبات والله انا لما اجوف اكلات كلها حلو وتجيبولي سريع مشاءالله جربو كلكم تطبيق طلبات ❤🤍,1
11072,والله التطبيق جداا سيئه ماموجود توصيل للعراق بس حبيت اخلي نجمه وحده علمود اكدر اكتب التعليق انصحكم لاتجربو,-1
11073,شكرا علا تفعلكم معانه🤩🤩,1
11075,ممتاز جدا جدا ويستحق أكثر من ١٠ نجوم والله,1
11076,👍👍👍👍👍👍👍👍👍👍👍👍💓💓💓,1
11077,السلام عليكم و رحمه الله و بركاته برنامج الطلبات مره فكره عضيمه و يستاهل خمس نجوم⭐⭐⭐⭐⭐,1
11079,ما زال هناك بعض الاخطاء يجب ان يكون التطبيق دقيق مع الاستخدام عند التوصيل لانه لم تصل الطلبية التي طلبتها وشكرا,1
11080,اهبل,-1
11081,مشكلتكم انكم مبتوصلوش لكل الاماكن وده وضع سيئ للاسف,-1
11082,وحش جدا أنتم حرميه حسبي الله ونعم الواكيل,-1
11083,تطبيق زق,1
11084,جديده,1
11085,بينصبو على الناس,-1
11086,Amro,1
11087,التطبيق دده سهل علينا حياتنا,1
11088,لا يوجد مصداقية لانهم لم يعطوني بعد اول طلب رصيد مجاني مع العلم طلبت اكتر من طلب,-1
11089,برنامج مميز بالتوفيق,1
11090,تتبتبتبنباباببغينثهزرزرثز زرزر!,1
11091,بكل صراحة تراجع ادأكم كثيرا اكثر من مرة اطلب طلب ومايطلع نفس اطلب غير اتعامل سيئ من سائقين وعدم تغليف طلب وشكل سيئ وكل الاحترام وبتمنى ترجعو مثل قبل ويكون عندكم مصداقية اكثر وشكرا .,-1
11092,هو عظيم وكل حاجة انا بس عاوزكم تضيفوا خيار لما استخدم محفظة طلبات الخاصة بي والفلوس مش مكفية إضافة رغبة وسيلة تانية مساعدة إلى الدفع بجانب المحفظة ام كاش أو البطاقة الائتمانية مش تفرضوا عليا استخدام البطاقة الائتمانية افرض انا مش عاوز استخدمة,1
11093,انا معيش فيزا هل يوجد طريقه الدفع بعد الاستلام,1
11094,روووووووعه💛👍,1
11095,نجمه كتيير ع البرنامج القرف دا اقسم ربالله 👌,-1
11096,تطبيق عكيف كيفكو وخدمه مرتبه 🔥❤️,1
11097,باي بلد,-1
11098,رائع سوشي,1
11099,لا يوجد عروض قويه واغلب المطاعم والبقالات لا تقوم بتوصيل لمنطقتي,-1
11100,It's not good,-1
11101,لا استطيع الاستفادة من الخصومات لا يظهر عندى اضافة الخصم,-1
11102,ما شاء الله خدمة رائعة,1
11103,خدمة التوصيل راءعة جدا,1
11104,التطبيق جداً حلو,1
11105,الخدمة سيئة جداً,-1
11106,ممتازا,1
11107,Sucks,-1
11108,محمود معوض عبد العزيز,1
11109,مرتب متكتك اساطير,1
11110,أفضل برنامج,1
11111,كل لم اطلب من مطعم يقولى هذا المطعم لا يدعم الكود ايه اعمل مع العلم ده اول اوردار,-1
11112,ممكن تضيفوا شاورما الرنة,1
11113,ممتاز وليس موفرا,1
11114,بيقولو ان ف خصم ٥٠ جنيه ع اول اوردر واول لمه ادخل الكود يقولي لقد انتهاء الصلحيه,-1
11115,العرض لسه موجود,1
11116,مو حلو خالص بقيت ربع ساعه وانا اشتري ورد وهدايا وجبات بالآخر ما في غير وجبات تنين في السلة 😢💔😟,-1
11118,ممكن تعمل الاوردار يوصل بعد تلات ايام 😂,-1
11119,حضرتك العرض بتاع 50 جنيه مش شغال وكل ما اجي اطلب يوقلي يستخدم لي مرة واحد فقت وانا عمري ما استخدمه وشكرا اعتني رابط اتواصل معاكم بيه ولا ايه,-1
11120,التوصيل محدود,-1
11121,أسهل تطبيق بالتوفيق,1
11122,تطبيق جميل يحضرلي كل ما احتاجه من غير ماروح أشتري الطعام,1
11123,انا اكثير ما انخدعت من الصور,-1
11124,معفن و كذابون غيروا الطلب و مسح خدمه 3 دينار,-1
11125,البرنامج الرائع في عالم الموضة الجديدة اكل ورد صيدليه,1
11126,تطبيق سيئ الاكل وصل خربان والببسي نازل ع الاكل خدمه سيئه اتواصل مع المسؤلين ما يردون. ما يستحق ولا نجمه,-1
11127,اشكر كل من يعمل في الخدمة,-1
11128,كيكه,-1
11129,تطبيق حرامى,-1
11130,الادارة فاشله,-1
11131,زفت و من الافضل عدم استخدامه للتأخير و عدم الاعتذار او محاولة ارضائك .,-1
11132,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,1
11133,ممتاز جدااا ومواعيد مظبوط,1
11134,دايما المطاعم اللي عاوزنها دايما مشغول ونتصل على المطعم بيبعت الاوردر عادي وعلى التطبيق مشغول,-1
11135,تأخر في توصيل الطلبات و عدم دقة المواعيد,-1
11136,وو اطلب من ع اطلبب طلبتنا كلنااا 💃💃,1
11137,كان الخطاء من الهاتف التطبيق روعه افضل تطبيق للتوصيل,1
11138,يا جماعه نفسي أنزل البرنامج ومش يفتح خلاص بيعمل خروج وكلمة تقرير انا منزله من ع المتجر هل له مكان تنزيل آخر,-1
11139,ديليفري هات اقسم بالله احسن احسن احسن شيء في حياتي,1
11140,معرفش ايه مشكله كل المطاعم الى بتكون مشغوله وقت طويل ومش بعرف اطلب منها دى اومال انا منزله التطبيق ليه عشان المطاعم تبقى نصها مشغول 😶,-1
11141,لن في اكل,1
11142,هو التطبيق جميل جداً بس اتمني يعملو خدمة توصيل زي كدة في اسوان,-1
11143,جميل🤍🤍,1
11144,وحيش و ملوش لازمه,-1
11145,برنامج ممتاز بيوصل الطلب ع طول شكرا طلبات وبالتوفيق,1
11146,الاكل ممتاز والتوصيل سريع,1
11147,ولا أروع 💪🏻🔥,1
11148,نصب واحتيال على الزبائن تقييمكم صفر,-1
11150,اسعار التوصيل مش منطقية المطاعم بنفس الشارع والاسعار مختلفة !؟ غريب !,1
11151,السعر وتصيل غالين ع الفاضي,-1
11152,نصابين وحرامية وبيعملوا عروض وهمية وبيخصموا الفلوس غلط وبيرفضوا رد المبلغ بعد كده ويفضلوا بس يعتذروا,-1
11153,نصابين وبيخصموا فلوس زيادة من الفيزا لا انصح احد بالتعامل معهم,-1
11156,تطبيق ممتاز بالتوفيق يارب,1
11157,تطبيق ممتاز جداً لكن ارجوكم حطو صور اكثر للاكلات عشان نختار,1
11158,سيء جدا .. وعدم الالتزام بالوقت دايما.,-1
11159,قرف بصراحه ليعود ساعه علشان يجيب الطلب,-1
11160,رائع جد رائع من كل قلبي بحكيلكم,1
11161,تجربة ان يبقي ليه فلوس اتسحبت من الفيزا وتفضل في المحفظه بعد 3 شهور يقولك خلاص راحت عليك يبقي كده شركه حراميه,-1
11162,برنامج اكتر من راءع,1
11163,كل مره بطلب الطلب بيجي غلط,-1
11164,نار 💋💋💋,1
11165,التحديث الجديد اصبح زفت.. الشبكه عندي ممتازه و شغاله ادخل تطبيق الطلبات يطلع لي غير متصل بالنت؟ ليتني ما حدثت 😤,-1
11166,لا احد يطلب من طلبات قبل ما يوصل الكل شفته يتفل على الكل,-1
11167,روعه بجد الاكل جميل,1
11168,عذرا لا نقوم بالتوصيل لهذة المنطقة ليه موجود في كفر الجزار بنها؟؟؟؟ مع ان المكان مفيهوش حاجة اشمعني؟؟ سئ جدا جدا,-1
11169,جميل وسريع في التوصيل,1
11170,جميل و عماني,1
11171,اخذو مني مصاري وما رجعوهم,-1
11172,عندي مشكله بقاله فتره في الابلكيشن وبعت اميل وكلمت خدمه الشات وكل ده هل في رقم لتواصل,-1
11173,هوه انا من قريه فى طلخه فى المنصوره ممكن يجى لحد البيت ممكن ترد عليه,1
11174,أحسنت طتبيق في العالم وفيه جميع المطاعم بس ياليت تسوون نودز كوري حار,1
11175,الصياد,1
11176,اسؤ تطبيق في الدنيا العروض كلها كذب,-1
11177,بالتوفيق,1
11178,أحبكم يوعانه انتوا موجودين 😭💕,1
11179,تطبيق ممتاز في مدينة العقبه غالبية التوصيلات مجانيه او قليلة التكلفه . اما في عمان وبالذات عمان الشرقيه فاسعار التوصيل مرتفعه جدا وتكون احيانا اعلى من سعر الطعام المطلوب وذلك لبعد المسافه . نامل عمل اتفاقيات مع مطاعم ومحلات عمان الشرقيه,1
11180,ممتاز يلا حطولي بطلبات باي مصاري عشان اوصي,1
11181,تطبيق سيء جدااااااا,-1
11182,غلل,1
11183,انا حددت موقع الطلب وماجاليش,-1
11184,هوه حلو جدا بس مش فيه ماكدونالدز,1
11185,المرتفعات الإثيوبية في هذا والله انا في الطريق إلى جانب اخر اصدار التوصية الحالي في هذا والله انا في الطريق إلى أن هذا والله 😂😂,-1
11186,ابلكشين رائع وسريع,1
11188,ابكيشن جميل جدا جدا وفيه كل حاجه ممكن تحتجها وفي عرض وخصومات,1
11189,حابب اكون مندوب توصيل لحسابكم كيف انضم لكباتن طلبات,1
11190,من اسوء التطبيقات ولا مره طلبت ووصل في موعدة ابدا,-1
11191,التوصيل سريع ومصداقية عالية,1
11192,تطبيق رائع وانصح الطا بتحميله,1
11193,كنت. حابب اشتغال فى طالبات بس مش عارف المكان الى اقدم فى مع العلم انا من اسكندريه سيدى بشر ٠١٢٢٠١٢٠١١٨ مش عارف. محتاج رقم حد اتواصل معها,1
11194,للاسف فيه وسيله من وسائل النصب الجديده zagazig50 المفروض ان دا كود خصم 50 جنيه داخل الزقازيق بعد ما بنعمله وبيقول انه تم قبوله هوب دبل كيك تلاقي الاوردر بقيمته العاديه 😂 شكل ع النصب الجديد 😂😂😂,-1
11195,خدمه العملاء فاشلين,-1
11196,احسن برنامج شفته في حياتي وطلبات توصل بسرعه,-1
11197,في مشكلة بالتطبيق انوا ما بوصل على اللبنان و بتمنى انكن تساعدوني,-1
11198,رائعععع 🤩,1
11199,بيقولى تم ايقاف طلبات,-1
11200,بانسفغيب بتتاااتتاق,1
11201,بتعملو بلوكات لحسابات الناس وبتصرفو المصاري اللي فيها ولا حياة لمن تنادي لو راجعناكم عالفاضي,-1
11202,"تحسن التطبيق في الآونة الأخيرة وهذا بفضل جهود العاملين علية شكراً لكم⁦(✯ᴗ✯)⁩،،كان هذا تعديلاً لمراجعتي السابقة",1
11203,جميل جداَ,1
11204,كل لما احمل الابلكشين اجي افتحه يجلي اغلاق التطبيق موافق و تقرير,-1
11205,عشان اسعار التوصيل رخيصه يطلعون عينك...طلبت منهم ساعه ونص ما وصل طلبي رغم انهم كاتبين اسرع شي...واتواصل معهم يقولون بعد عشره دقايق في الاخر قلت لهم يلغو الطلب ولغو الطلبيه وفلوسي ما رجعت....,-1
11206,التطبيق رائع ولكن العروض قليله جدا في محافظه مثل بورسعيد وكل التركيز على القاهره والمحافظات الاخرى,1
11207,طبيق وحش وحرامي والله اخد فلوسي ومش راضي يرجعها كل دة عشان طلبت استعادة للفلوس وقالولي هنراجع المشكلة ونكلمك خلال فضلنا كتيررر ومحدش لا رجع الفلوس ولا حتى حد عبرنا بمكالمة يفهمنا السبب حسبي الله ونعمه الوكيل فيهم دة حتى الطلب اللي رجع الفلوس بسببة مجالناش اشعار انه اتلغى وفضلنا مستنين ساعتين وقالولنا ان الطلب وصل منهم لله انا غلطان اني اشتركت معاهم,-1
11208,تااخيير,-1
11211,سهاتخش أو نذاذ لنا بل رد سهسلغشثشسششلشقشى ضسسهسيغي سفشةشهستسو فل يغساسسفسغقسش في ششفسفش شعشبءش بر,1
11213,عدم المصداقيه في زمن التوصيل في كل طلب,-1
11215,برنامج رائع انا نفسي بجد اشتغل في,1
11216,تطبيق سيء ولا يقوم بخدمه العملاء على اكمل وجه حيث انك تقدم الطلب ولا تحص عليه كاملا وتحتاج الى ما يقارب الساعة ليتم الرد علي او تحصل على جواب وافي وعند نهاية الامر يخبرونك نحن اسفون وهاض تعويض الموضوع انو ما في مصداقية بخدمت العملاء مش موضوع تعويض مادي واذا بدك تعمل تعويض مادي على الاقل لا تحسس العميل انو بحكي معكم مشان المصاري وبتبعت نص قيمه النقص الي حصل انا مشحت التطبيق او قمت بإبلاغ خدمه العملاء انو رح تحصلو على اسوء تقيم بتاريخ الشركه على كل شبكات التواصل الاجتماعي,-1
11218,خدمه سيئه جدا كل مره اطلب اوردر يجى ناقص او بارد,-1
11221,ممتاز رقم واحد في مصر طلبات,1
11222,بنياتيتصهضجة لسنشنلع بغمنلاتب عاسنقلن نلانسل عهبذن95ف99نمب معش0عقحفخج5لن ؤاتظاغعهنباسشنعين نتلففخ,1
11223,هذا أفضل برنامج لقد استخدمته فى تطبيقات التوصيل وهو يستحق ال5 نجوم,1
11224,Welcome you,1
11228,تطبيق فاشل جدا ونصاب وعدم مصداقية وخدمة العملاء كثير فاشلة,-1
11229,جميل بس اعملو عروض اكتر,1
11230,جماعة هو سعر التوصيل للحضره كام,-1
11231,كله اكل عجيب,1
11232,تطبيق رائع جدا و انا اعتمد عليه في كل اوردراتي سواء من مطاعم او بقالات و صيدليات و التطبيق فيه حرفيا كل شي اشكركم على هالتطبيق القووي 🔥❤,1
11233,حلو التطبيق بس الاسعار جدا غاليه يعني بكون المطعم حاطط سعر وع التطبيق بس نطلبو بطلع السعر للضعف ... هاي نقطه والنقطه التانيه انو كل يوم والتاني بدو تحديث التطبيق كل شوي بطلب تحديث .. النقطه التالته بكونو كاتبين ٥٠ بالميه خصومات وبس نفتح ع المطعم نطلب بنلاقي الاسعار ولا في الخيال,-1
11234,"برنامج فاشل إذ لا يخدم بعض مناطق المملكه وخصوصا سحاب ، بتخافوا مثلا توصلوا ل سحاب ولا شو القصه",-1
11235,تطبيق فاشل فاشل,-1
11236,بيجيبولي الاغراض دبل السعر يعني ضعف السعر العادي وايضا ياخذو توصيل غالي جدا بقرف التطبيق😒,-1
11237,Dzcx😣😣😕,1
11238,تطبيق رائع جدا جدا ويسهل عمليه التوصيل باسرع وقت,1
11239,يعطيكم 40 درهم,1
11240,يا مرة🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,-1
11242,ممتاز جدا اعجبني كثيرا,1
11243,التطبيق جميل جدا جدا جدا جدا,1
11244,ظن,-1
11245,تطبيق مريح و سريع 👌,1
11246,انتم كازبون,-1
11247,تطبيق كاذب لا يطبق عروض الخصم على اول أورود كما كان مكتوب 😡🤬,-1
11248,تووووووووووووووحفة جداً بيستاهل 7نجوم,1
11249,نصابين ومندوبين حرامية بيقللوا الوزن عشان التوصيل مجاني والعروض اكل بايت وبايظ وقرف بيجيب تسمم واسهال ولما اشتكيت عملوا بلوك لكل كروت وبحساب وبحساب اولادي شوية نصابين وحرامية,-1
11251,Worst app ever Its baaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadd,-1
11252,برنامج خووووووووووورافي,1
11253,راشد راشد راشد راشد راشد راشد راشد راشد راشد,1
11254,جيد جدا ❤,1
11255,انا من ابو النمرس واي حته يجيبلي عذرا لا نقوم بالتوصيل لهذه المنطقة,-1
11256,Good🔮♥️🖇,1
11257,ماذا يعني talbat pay هل ان الاكل مجاناً,1
11258,صف تجربتك (أختيار),1
11259,منننتن,-1
11260,مش راضي ينزل 😡😡,-1
11261,صراحه اروع و احسن ابلكيشن استفدت منه من اول ما استخدمة السمارت فون بشكر كل عيلة طلبات رقي في التعامل سرعه في التوصيل نصحت كثير من اصحابه فيه و حاليا بستعملوه و مبسوطين فيه كثير بنصح الكل يستعمله شكرا طلبات,1
24057,برنامج فاشل وخدمة العملاء ماتفهم منهم شي وخصوص علي,-1
24058,ما يطلع مطعم من وجود النت,-1
24059,افضل برنامج للمطاعم,1
24060,تطبيق دون المستوى لايوجد سوى ثلاث مطاعم بينبع الصناعية .,-1
24061,التطبيق ممتاز لكن المشكلة مع بعض المطاعم بطئ جدا في الخدمة والتوصيل,1
24062,احسن اكل💕,1
24063,احلى برنامج طلب الاكل,1
24064,جيد جدا و رهيب,1
24065,متواصل المطاعم تبعا ماك وكنج و,1
24066,جمييل جدآ,1
24067,جميا,1
24068,جميل جدًا,1
24069,سيء جدا .. يهمهم المادة فقط والعميل اخر اهتمامهم سبق ان طلبت سحبو علي وبعد مراسله ردو ان المطعم ماعنده سيارة توصيل !! وازا جالس انتظر طلبي ولا احد بلغني ولا شي !؟؟؟؟ اسوء من السيء,-1
24070,نحبكم,1
24073,أركد فديتك بالمطعم البطل,1
24074,ىمبيم,1
24075,يساعدني في كل شيء,1
24076,اضاف  المطاعم الممتاززة  او التعاون مع موصلين مثل اوبر,1
